Questname,Quest Type,Region,Savefile
A Costly Mistake,Treasure Hunt,Velen,
A Plea Ignored,Treasure Hunt,Velen,
An Unfortunate Turn of Events,Treasure Hunt,Velen,
Battlefield Loot,Treasure Hunt,Velen,
Blood Gold,Treasure Hunt,Velen,
Coast of Wrecks,Treasure Hunt,Novigrad,
Deserter Gold,Treasure Hunt,White Orchard,
Dirty Funds,Treasure Hunt,White Orchard,
Don't Play with the Gods,Treasure Hunt,Velen,
Dowry,Treasure Hunt,Velen,
Family Fortune,Treasure Hunt,Skellige,
Freya Be Praised!,Treasure Hunt,Skellige,
Hidden from the World,Treasure Hunt,Velen,
Hidden in the Depths,Treasure Hunt,Skellige,
Inheritance,Treasure Hunt,Skellige,
Ironsides' Treasure,Treasure Hunt,Skellige,
Lost Goods,Treasure Hunt,Novigrad,
Nilfgaardian Treasure,Treasure Hunt,Skellige,
Not Only Eagles Dare,Treasure Hunt,Skellige,
"Out of the Frying Pan, into the Fire",Treasure Hunt,Velen,
Pearls of the Coast,Treasure Hunt,Skellige,
Precious Haul,Treasure Hunt,Skellige,
Queen Zuleyka's Treasure,Treasure Hunt,Velen,
"Ruins, Hidden Treasure, You Know...",Treasure Hunt,Skellige,
Scavenger Hunt: Bear School Gear,Treasure Hunt,Skellige,
Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 1,Treasure Hunt,Skellige,
Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 2,Treasure Hunt,Skellige,
Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 3,Treasure Hunt,Velen,
Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 4,Treasure Hunt,Velen,
Scavenger Hunt: Cat School Gear,Treasure Hunt,Novigrad,
Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 1,Treasure Hunt,Novigrad,
Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 2,Treasure Hunt,Velen,
Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 3,Treasure Hunt,Novigrad,
Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 4,Treasure Hunt,Skellige,
Scavenger Hunt: Forgotten Wolf School Gear Diagrams,Treasure Hunt,Kaer Morhen,
Scavenger Hunt: Griffin School Gear,Treasure Hunt,Velen,
Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 1,Treasure Hunt,Velen,
Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 2 ,Treasure Hunt,Velen,
Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 3,Treasure Hunt,Velen,
Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 4,Treasure Hunt,Skellige,
Scavenger Hunt: Viper School Gear,Treasure Hunt,White Orchard,
Scavenger Hunt: Wolf School Gear,Treasure Hunt,Kaer Morhen,
Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 1,Treasure Hunt,Velen,
Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 2,Treasure Hunt,Kaer Morhen,
Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 3,Treasure Hunt,Skellige,
Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 4,Treasure Hunt,Kaer Morhen,
Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 5,Treasure Hunt,Velen,
Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 6,Treasure Hunt,Skellige,
Shortcut,Treasure Hunt,Skellige,
Sunken Chest,Treasure Hunt,Velen,
Sunken Treasure,Treasure Hunt,Velen,
Temerian Valuables,Treasure Hunt,White Orchard,
The Dead Have No Defense,Treasure Hunt,Velen,
The Things Men Do For Coin,Treasure Hunt,Velen,
Tough Luck,Treasure Hunt,Velen,
Unlucky's Treasure,Treasure Hunt,Skellige,
X Marks the Spot,Treasure Hunt,Skellige,
A Bard's Beloved,Secondary Quest,Skellige,
A Barnful of Trouble,Secondary Quest,Novigrad,
A Dangerous Game,Secondary Quest,Novigrad,
A Deadly Plot,Secondary Quest,Novigrad,
A Dog's Life,Secondary Quest,Velen,
A Favor for a Friend,Secondary Quest,Velen,
A Feast for Crows,Secondary Quest,Novigrad,
"A Frying Pan, Spick and Span",Secondary Quest,White Orchard,
A Greedy God,Secondary Quest,Velen,
A Hallowed Horn,Secondary Quest,Skellige,
